X [s],Trigno sensor (EMG) 1: EMG 1 [Volts]
0.000000e+000,0.000000e+000
5.000000e-004,0.000000e+000
1.000000e-003,0.000000e+000
1.500000e-003,0.000000e+000
2.000000e-003,0.000000e+000
2.500000e-003,0.000000e+000
3.000000e-003,0.000000e+000
3.500000e-003,0.000000e+000
4.000000e-003,0.000000e+000
4.500000e-003,0.000000e+000
5.000000e-003,0.000000e+000
5.500000e-003,0.000000e+000
6.000000e-003,0.000000e+000
6.500000e-003,0.000000e+000
7.000000e-003,0.000000e+000
7.500000e-003,0.000000e+000
8.000000e-003,0.000000e+000
8.500000e-003,0.000000e+000
9.000000e-003,0.000000e+000
9.500000e-003,0.000000e+000
1.000000e-002,0.000000e+000
1.050000e-002,0.000000e+000
1.100000e-002,0.000000e+000
1.150000e-002,0.000000e+000
1.200000e-002,0.000000e+000
1.250000e-002,0.000000e+000
1.300000e-002,0.000000e+000
1.350000e-002,0.000000e+000
1.400000e-002,0.000000e+000
1.450000e-002,0.000000e+000
1.500000e-002,0.000000e+000
1.550000e-002,0.000000e+000
1.600000e-002,0.000000e+000
1.650000e-002,0.000000e+000
1.700000e-002,0.000000e+000
1.750000e-002,0.000000e+000
1.800000e-002,0.000000e+000
1.850000e-002,0.000000e+000
1.900000e-002,0.000000e+000
1.950000e-002,0.000000e+000
2.000000e-002,0.000000e+000
2.050000e-002,0.000000e+000
2.100000e-002,0.000000e+000
2.150000e-002,0.000000e+000
2.200000e-002,0.000000e+000
2.250000e-002,0.000000e+000
2.300000e-002,0.000000e+000
2.350000e-002,0.000000e+000
2.400000e-002,0.000000e+000
2.450000e-002,0.000000e+000
2.500000e-002,0.000000e+000
2.550000e-002,0.000000e+000
2.600000e-002,0.000000e+000
2.650000e-002,-8.605274e-008
2.700000e-002,-2.358729e-006
2.750000e-002,-3.248763e-006
2.800000e-002,-1.153185e-006
2.850000e-002,1.296709e-006
2.900000e-002,2.527069e-006
2.950000e-002,1.370844e-006
3.000000e-002,2.829280e-006
3.050000e-002,3.731455e-006
3.100000e-002,1.191455e-006
3.150000e-002,-2.434849e-006
3.200000e-002,-5.301069e-006
3.250000e-002,-6.621748e-006
3.300000e-002,-7.350835e-006
3.350000e-002,-8.437004e-006
3.400000e-002,-8.253089e-006
3.450000e-002,-5.546549e-006
3.500000e-002,-3.338100e-006
3.550000e-002,-3.510373e-006
3.600000e-002,-4.633685e-006
3.650000e-002,-3.998467e-006
3.700000e-002,-3.166566e-006
3.750000e-002,-4.013349e-006
3.800000e-002,-6.258720e-006
3.850000e-002,-5.600030e-006
3.900000e-002,-3.048823e-006
3.950000e-002,-2.737706e-006
4.000000e-002,-3.547970e-006
4.050000e-002,-3.798818e-006
4.100000e-002,-5.349983e-006
4.150000e-002,-6.439597e-006
4.200000e-002,-4.453496e-006
4.250000e-002,-1.686165e-006
4.300000e-002,1.794631e-008
4.350000e-002,2.344486e-007
4.400000e-002,-1.261026e-006
4.450000e-002,-3.958078e-006
4.500000e-002,-5.883513e-006
4.550000e-002,-7.873982e-006
4.600000e-002,-9.338282e-006
4.650000e-002,-9.780880e-006
4.700000e-002,-8.519259e-006
4.750000e-002,-4.120159e-006
4.800000e-002,6.434620e-008
4.850000e-002,1.186357e-006
4.900000e-002,9.612460e-007
4.950000e-002,9.507337e-007
5.000000e-002,3.482402e-007
5.050000e-002,-5.253621e-007
5.100000e-002,-4.823086e-007
5.150000e-002,4.193552e-007
5.200000e-002,1.142539e-006
5.250000e-002,-2.053777e-006
5.300000e-002,-6.917622e-006
5.350000e-002,-7.121553e-006
5.400000e-002,-5.401983e-006
5.450000e-002,-5.476543e-006
5.500000e-002,-4.571812e-006
