X [s],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,0.000000e+000
5.000000e-004,0.000000e+000
1.000000e-003,0.000000e+000
1.500000e-003,0.000000e+000
2.000000e-003,0.000000e+000
2.500000e-003,0.000000e+000
3.000000e-003,0.000000e+000
3.500000e-003,0.000000e+000
4.000000e-003,0.000000e+000
4.500000e-003,0.000000e+000
5.000000e-003,0.000000e+000
5.500000e-003,0.000000e+000
6.000000e-003,0.000000e+000
6.500000e-003,0.000000e+000
7.000000e-003,0.000000e+000
7.500000e-003,0.000000e+000
8.000000e-003,0.000000e+000
8.500000e-003,0.000000e+000
9.000000e-003,0.000000e+000
9.500000e-003,0.000000e+000
1.000000e-002,0.000000e+000
1.050000e-002,0.000000e+000
1.100000e-002,0.000000e+000
1.150000e-002,0.000000e+000
1.200000e-002,0.000000e+000
1.250000e-002,0.000000e+000
1.300000e-002,-4.910069e-007
1.350000e-002,-1.345863e-005
1.400000e-002,-1.511520e-005
1.450000e-002,1.865843e-004
1.500000e-002,1.887087e-003
1.550000e-002,2.518922e-003
1.600000e-002,5.303190e-004
1.650000e-002,-6.669672e-004
1.700000e-002,-7.792072e-004
1.750000e-002,-3.714340e-004
1.800000e-002,-2.615604e-004
1.850000e-002,-2.932619e-004
1.900000e-002,-3.012054e-004
1.950000e-002,-3.011081e-004
2.000000e-002,-2.309838e-004
2.050000e-002,-2.498088e-004
2.100000e-002,-1.874349e-004
2.150000e-002,-2.160762e-004
2.200000e-002,-1.516551e-004
2.250000e-002,-1.732883e-004
2.300000e-002,-1.146392e-004
2.350000e-002,-1.325669e-004
2.400000e-002,-8.610894e-005
2.450000e-002,-9.479584e-005
2.500000e-002,-6.171095e-005
2.550000e-002,-6.487338e-005
2.600000e-002,-4.545792e-005
2.650000e-002,-3.529759e-005
2.700000e-002,-2.295401e-005
2.750000e-002,-9.202640e-006
2.800000e-002,-9.395436e-006
2.850000e-002,6.698813e-006
2.900000e-002,8.837838e-004
2.950000e-002,2.457835e-003
3.000000e-002,1.778449e-003
3.050000e-002,-1.459088e-004
3.100000e-002,-7.891153e-004
3.150000e-002,-5.997722e-004
3.200000e-002,-2.778727e-004
3.250000e-002,-2.580744e-004
3.300000e-002,-2.953155e-004
3.350000e-002,-2.952635e-004
3.400000e-002,-2.719560e-004
3.450000e-002,-2.258282e-004
3.500000e-002,-2.186146e-004
3.550000e-002,-1.745879e-004
3.600000e-002,-1.766197e-004
3.650000e-002,-1.436790e-004
3.700000e-002,-1.544518e-004
3.750000e-002,-1.248250e-004
3.800000e-002,-1.301707e-004
3.850000e-002,-1.063115e-004
3.900000e-002,-1.068931e-004
3.950000e-002,-8.338736e-005
4.000000e-002,-7.302181e-005
4.050000e-002,-5.731744e-005
4.100000e-002,-4.586342e-005
4.150000e-002,-2.979239e-005
4.200000e-002,-1.057103e-005
4.250000e-002,-3.964039e-006
4.300000e-002,1.656982e-004
4.350000e-002,1.660153e-003
4.400000e-002,2.491671e-003
4.450000e-002,8.434681e-004
4.500000e-002,-5.322046e-004
4.550000e-002,-8.112858e-004
4.600000e-002,-4.275144e-004
4.650000e-002,-2.730556e-004
4.700000e-002,-2.901196e-004
4.750000e-002,-3.150485e-004
4.800000e-002,-3.018463e-004
4.850000e-002,-2.390373e-004
4.900000e-002,-2.385981e-004
4.950000e-002,-1.942445e-004
5.000000e-002,-2.073858e-004
5.050000e-002,-1.568978e-004
5.100000e-002,-1.645943e-004
5.150000e-002,-1.193872e-004
5.200000e-002,-1.283495e-004
5.250000e-002,-9.057779e-005
5.300000e-002,-9.427821e-005
5.350000e-002,-6.800546e-005
5.400000e-002,-6.945031e-005
